Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;TENESTEYTING MV.;33.4;38.3;33.1;30.2
 ;HUSHALD OG JORDBRUK;51.7;54.0;55.5;51.0
 ;Primærnæringer;4.5;4.6;2.5;1.1
 ;Hushald;45.9;47.9;51.3;48.2
 ;Hytter og fritidshus;1.3;1.5;1.7;1.7
Surnadal;;;;;
 ;ALLE FORBRUKARGRUPPER;89.4;96.6;96.7;91.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.6;23.5;23.3;22.5
 ;TENESTEYTING MV.;23.1;23.1;22.1;21.3
 ;HUSHALD OG JORDBRUK;45.7;49.9;51.3;47.9
 ;Primærnæringer;3.0;3.7;3.8;3.7
 ;Hushald;39.9;43.1;43.9;41.0
 ;Hytter og fritidshus;2.8;3.1;3.5;3.2
Rindal;;;;;
 ;ALLE FORBRUKARGRUPPER;31.7;33.8;33.7;31.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.8;5.7;5.5;4.7
 ;TENESTEYTING MV.;8.3;9.0;8.7;8.7
 ;HUSHALD OG JORDBRUK;17.6;19.1;19.5;18.3
 ;Primærnæringer;2.2;2.4;2.5;2.4
 ;Hushald;14.2;15.4;15.4;14.3
 ;Hytter og fritidshus;1.2;1.4;1.6;1.6
Halsa;;;;;
 ;ALLE FORBRUKARGRUPPER;25.5;26.1;26.8;24.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.5;2.5;2.6;2.1
 ;TENESTEYTING MV.;5.4;5.5;5.3;5.0
 ;HUSHALD OG JORDBRUK;17.6;18.1;18.9;17.7
 ;Primærnæringer;4.3;4.4;4.7;4.7
 ;Hushald;11.3;11.6;11.8;10.9
 ;Hytter og fritidshus;2.0;2.2;2.4;2.1
Smøla;;;;;
 ;ALLE FORBRUKARGRUPPER;36.7;38.3;38.6;38.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.4;6.1;6.6;6.6
 ;TENESTEYTING MV.;8.4;8.9;8.3;8.5
 ;HUSHALD OG JORDBRUK;21.9;23.4;23.7;23.1
 ;Primærnæringer;3.5;4.0;4.2;4.7
 ;Hushald;16.1;16.9;17.0;16.0
 ;Hytter og fritidshus;2.2;2.5;2.5;2.4
Aure;;;;;
 ;ALLE FORBRUKARGRUPPER;362.4;459.0;213.8;223.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;313.4;405.7;160.1;171.3
 ;TENESTEYTING MV.;11.4;12.5;12.4;11.5
 ;HUSHALD OG JORDBRUK;37.6;40.9;41.3;40.9
 ;Primærnæringer;10.0;11.8;11.1;12.4
 ;Hushald;23.1;24.2;24.8;23.3
 ;Hytter og fritidshus;4.5;5.0;5.4;5.1
Trondheim;;;;;
 ;ALLE FORBRUKARGRUPPER;2402.4;2613.3;2655.3;2577.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;342.1;426.6;449.4;459.7
 ;TENESTEYTING MV.;978.6;1023.6;1019.6;991.1
 ;HUSHALD OG JORDBRUK;1081.7;1163.1;1186.2;1126.3
 ;Primærnæringer;6.9;6.5;0.7;4.1
 ;Hushald;1071.2;1152.8;1181.6;1118.4
 ;Hytter og fritidshus;3.7;3.9;3.9;3.8
Hemne;;;;;
 ;ALLE FORBRUKARGRUPPER;771.1;772.5;798.1;800.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;717.8;714.4;734.3;735.1
 ;TENESTEYTING MV.;15.6;16.7;16.5;16.1
 ;HUSHALD OG JORDBRUK;37.7;41.4;47.3;49.4
 ;Primærnæringer;6.4;8.5;14.1;17.4
 ;Hushald;28.2;29.4;29.1;27.5
 ;Hytter og fritidshus;3.1;3.6;4.2;4.5
Snillfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;19.5;23.6;23.9;22.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.6;0.8;0.8;0.7
 ;TENESTEYTING MV.;3.2;5.9;5.4;5.3
 ;HUSHALD OG JORDBRUK;15.6;17.0;17.7;16.8
 ;Primærnæringer;5.6;5.9;6.6;6.0
 ;Hushald;6.3;6.7;6.7;6.4
 ;Hytter og fritidshus;3.7;4.4;4.4;4.3
Hitra;;;;;
 ;ALLE FORBRUKARGRUPPER;78.9;83.0;85.4;84.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.4;12.0;19.5;21.3
 ;TENESTEYTING MV.;19.1;20.3;20.5;20.0
 ;HUSHALD OG JORDBRUK;48.3;50.6;45.4;43.5
 ;Primærnæringer;13.1;12.5;6.3;6.3
 ;Hushald;28.2;30.5;31.0;29.6
 ;Hytter og fritidshus;7.1;7.6;8.1;7.6
Frøya;;;;;
 ;ALLE FORBRUKARGRUPPER;79.1;82.7;86.9;88.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;23.1;24.8;27.7;29.9
 ;TENESTEYTING MV.;17.4;17.6;17.8;18.8
 ;HUSHALD OG JORDBRUK;38.7;40.3;41.3;39.6
 ;Primærnæringer;3.6;3.4;3.0;3.2
 ;Hushald;29.8;31.4;32.4;31.0
 ;Hytter og fritidshus;5.3;5.5;5.9;5.4
Ørland;;;;;
 ;ALLE FORBRUKARGRUPPER;98.9;102.2;100.5;96.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.7;8.0;7.7;7.7
 ;TENESTEYTING MV.;45.9;47.5;46.1;44.4
 ;HUSHALD OG JORDBRUK;42.3;46.7;46.7;44.5
 ;Primærnæringer;5.2;5.4;5.1;4.3
 ;Hushald;35.9;39.7;40.0;38.6
 ;Hytter og fritidshus;1.3;1.6;1.7;1.6
Agdenes;;;;;
 ;ALLE FORBRUKARGRUPPER;28.2;31.0;31.5;30.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;1.5;1.4;1.2
 ;TENESTEYTING MV.;7.8;8.6;8.8;8.8
 ;HUSHALD OG JORDBRUK;19.3;21.0;21.2;20.4
 ;Primærnæringer;7.0;7.6;7.2;6.8
 ;Hushald;8.5;9.2;9.5;9.4
 ;Hytter og fritidshus;3.8;4.2;4.6;4.2
Rissa;;;;;
 ;ALLE FORBRUKARGRUPPER;84.9;95.5;96.1;88.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.5;16.0;16.0;14.1
 ;TENESTEYTING MV.;21.5;23.4;22.5;19.3
 ;HUSHALD OG JORDBRUK;51.9;56.2;57.6;55.4
 ;Primærnæringer;8.1;8.1;7.2;7.5
 ;Hushald;39.2;42.9;44.6;42.7
 ;Hytter og fritidshus;4.6;5.2;5.8;5.3
Bjugn;;;;;
 ;ALLE FORBRUKARGRUPPER;72.7;77.2;78.6;89.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.2;11.1;10.5;23.5
 ;TENESTEYTING MV.;18.9;18.5;20.3;19.8
 ;HUSHALD OG JORDBRUK;42.6;47.6;47.7;46.1
 ;Primærnæringer;6.1;6.8;6.7;6.7
 ;Hushald;31.3;34.7;34.8;33.5
 ;Hytter og fritidshus;5.2;6.0;6.2;5.9
Åfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;42.8;44.6;46.4;46.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.7;1.8;1.7;1.7
 ;TENESTEYTING MV.;13.3;12.9;14.2;15.7
 ;HUSHALD OG JORDBRUK;27.7;29.9;30.5;28.8
 ;Primærnæringer;6.1;6.3;6.3;5.7
 ;Hushald;17.4;19.0;19.5;18.8
 ;Hytter og fritidshus;4.2;4.6;4.8;4.3
Roan;;;;;
 ;ALLE FORBRUKARGRUPPER;17.6;18.3;18.1;18.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.4;0.5;1.1;1.5
 ;TENESTEYTING MV.;3.4;3.5;3.5;3.4
 ;HUSHALD OG JORDBRUK;13.7;14.3;13.6;13.7
 ;Primærnæringer;7.0;6.9;5.9;6.3
 ;Hushald;5.2;5.7;5.8;5.7
 ;Hytter og fritidshus;1.6;1.7;1.9;1.8
Osen;;;;;
 ;ALLE FORBRUKARGRUPPER;13.9;15.2;15.0;15.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;1.3;1.2;1.0
 ;TENESTEYTING MV.;3.8;4.1;4.0;3.9
 ;HUSHALD OG JORDBRUK;8.8;9.8;9.8;10.1
 ;Primærnæringer;2.3;2.8;2.7;3.1
 ;Hushald;5.6;6.0;6.1;6.1
 ;Hytter og fritidshus;0.9;1.0;1.0;1.0
Oppdal;;;;;
 ;ALLE FORBRUKARGRUPPER;136.9;144.7;145.0;136.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.1;10.0;10.0;9.2
 ;TENESTEYTING MV.;47.0;48.4;45.6;43.0
 ;HUSHALD OG JORDBRUK;79.9;86.3;89.4;84.2
 ;Primærnæringer;12.0;12.4;8.1;7.4
 ;Hushald;42.3;47.0;52.2;49.4
 ;Hytter og fritidshus;25.6;26.9;29.1;27.3
Rennebu;;;;;
 ;ALLE FORBRUKARGRUPPER;44.2;47.5;46.2;43.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.9;9.2;7.2;6.0
 ;TENESTEYTING MV.;9.7;10.6;9.1;9.7
 ;HUSHALD OG JORDBRUK;25.6;27.7;30.0;28.0
 ;Primærnæringer;6.1;6.5;4.3;5.1
 ;Hushald;14.1;15.1;14.3;16.1
 ;Hytter og fritidshus;5.4;6.2;11.3;6.8
Meldal;;;;;
 ;ALLE FORBRUKARGRUPPER;54.1;56.2;55.6;52.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.7;6.0;6.1;5.8
 ;TENESTEYTING MV.;13.4;13.6;12.3;11.8
 ;HUSHALD OG JORDBRUK;34.0;36.7;37.2;34.8
 ;Primærnæringer;5.0;5.3;4.9;4.7
 ;Hushald;27.6;29.9;30.6;28.5
 ;Hytter og fritidshus;1.4;1.5;1.7;1.6
Orkdal;;;;;
 ;ALLE FORBRUKARGRUPPER;701.1;873.8;997.5;1005.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;560.8;719.4;841.5;856.1
 ;TENESTEYTING MV.;50.8;55.3;55.5;53.5
 ;HUSHALD OG JORDBRUK;89.5;99.1;100.5;95.6
 ;Primærnæringer;7.1;7.8;5.4;4.4
 ;Hushald;78.6;86.9;90.3;87.0
 ;Hytter og fritidshus;3.9;4.4;4.8;4.2
Røros;;;;;
 ;ALLE FORBRUKARGRUPPER;116.6;126.0;127.0;120.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;13.2;13.2;17.5;16.9
 ;TENESTEYTING MV.;39.5;39.1;37.4;35.2
 ;HUSHALD OG JORDBRUK;63.9;73.7;72.0;68.0
 ;Primærnæringer;5.9;6.2;1.9;0.6
 ;Hushald;43.8;52.0;53.1;50.6
 ;Hytter og fritidshus;14.2;15.5;17.0;16.8
Holtålen;;;;;
 ;ALLE FORBRUKARGRUPPER;26.3;28.8;29.7;28.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;1.7;1.6;1.6
 ;TENESTEYTING MV.;7.1;7.8;7.9;7.4
 ;HUSHALD OG JORDBRUK;18.3;19.4;20.2;19.0
 ;Primærnæringer;0.2;0.2;0.3;0.2
 ;Hushald;15.2;16.3;16.5;15.7
 ;Hytter og fritidshus;2.8;2.9;3.4;3.1
Midtre Gauldal;;;;;
 ;ALLE FORBRUKARGRUPPER;91.6;94.6;98.2;97.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.6;20.2;21.2;21.8
 ;TENESTEYTING MV.;21.0;20.7;21.4;21.6
 ;HUSHALD OG JORDBRUK;50.1;53.6;55.6;53.6
 ;Primærnæringer;2.9;3.4;3.5;3.6
 ;Hushald;44.7;47.8;49.1;47.2
 ;Hytter og fritidshus;2.6;2.5;3.1;2.8
Melhus;;;;;
 ;ALLE FORBRUKARGRUPPER;167.4;188.7;186.5;175.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.3;13.3;8.4;7.0
 ;TENESTEYTING MV.;54.6;61.7;61.2;57.8
 ;HUSHALD OG JORDBRUK;103.5;113.7;116.8;110.4
 ;Primærnæringer;11.8;12.4;12.7;11.7
 ;Hushald;90.5;100.0;102.6;97.3
 ;Hytter og fritidshus;1.2;1.4;1.5;1.4
Skaun;;;;;
 ;ALLE FORBRUKARGRUPPER;71.3;76.2;79.0;77.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.9;4.5;5.4;5.8
 ;TENESTEYTING MV.;20.1;21.0;21.0;20.2
 ;HUSHALD OG JORDBRUK;46.4;50.7;52.6;51.2
 ;Primærnæringer;5.4;5.7;5.4;5.0
 ;Hushald;40.0;43.8;45.9;45.0
 ;Hytter og fritidshus;1.0;1.1;1.2;1.2
Klæbu;;;;;
 ;ALLE FORBRUKARGRUPPER;52.9;58.0;57.0;54.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.6;3.5;2.7;2.5
 ;TENESTEYTING MV.;12.8;14.1;13.4;13.0
 ;HUSHALD OG JORDBRUK;37.4;40.5;41.0;39.4
 ;Primærnæringer;0.5;0.5;0.5;0.2
 ;Hushald;36.6;39.7;40.2;38.8
 ;Hytter og fritidshus;0.3;0.3;0.3;0.4
Malvik;;;;;
 ;ALLE FORBRUKARGRUPPER;141.6;153.2;149.9;143.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;13.8;15.1;10.3;10.8
 ;TENESTEYTING MV.;43.2;44.6;43.7;40.5
 ;HUSHALD OG JORDBRUK;84.6;93.5;95.9;92.5
 ;Primærnæringer;1.2;1.2;0.7;0.6
 ;Hushald;82.6;91.3;94.2;90.9
 ;Hytter og fritidshus;0.8;0.9;1.0;0.9
Selbu;;;;;
 ;ALLE FORBRUKARGRUPPER;59.0;64.3;64.7;61.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;12.3;12.9;12.8;12.5
 ;TENESTEYTING MV.;13.7;16.1;16.1;14.9
 ;HUSHALD OG JORDBRUK;33.0;35.4;35.8;33.7
 ;Primærnæringer;3.9;4.0;4.1;4.0
 ;Hushald;26.4;28.1;28.4;26.5
 ;Hytter og fritidshus;2.8;3.2;3.3;3.2
Tydal;;;;;
 ;ALLE FORBRUKARGRUPPER;22.1;23.6;25.8;23.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;1.0;0.9;0.9
 ;TENESTEYTING MV.;6.2;6.7;7.3;7.2
 ;HUSHALD OG JORDBRUK;15.0;16.0;17.6;15.5
 ;Primærnæringer;2.3;2.4;2.3;2.1
 ;Hushald;5.2;5.5;5.6;5.5
 ;Hytter og fritidshus;7.6;8.0;9.6;7.9
Steinkjer;;;;;
 ;ALLE FORBRUKARGRUPPER;293.7;313.5;312.4;309.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;32.1;35.4;36.1;34.4
 ;TENESTEYTING MV.;114.1;121.1;118.5;115.6
 ;HUSHALD OG JORDBRUK;147.4;157.0;157.8;159.8
 ;Primærnæringer;26.9;28.6;28.5;27.1
 ;Hushald;119.2;126.8;127.3;130.7
 ;Hytter og fritidshus;1.3;1.6;2.0;1.9
Namsos;;;;;
 ;ALLE FORBRUKARGRUPPER;175.4;183.9;200.7;196.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;32.7;31.5;29.2;29.2
 ;TENESTEYTING MV.;71.1;76.1;78.6;78.3
 ;HUSHALD OG JORDBRUK;71.6;76.2;92.9;89.5
 ;Primærnæringer;1.3;1.3;6.2;6.1
 ;Hushald;69.8;74.5;84.6;81.2
 ;Hytter og fritidshus;0.4;0.5;2.2;2.2
Meråker;;;;;
 ;ALLE FORBRUKARGRUPPER;45.8;47.1;47.5;45.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.1;3.3;3.6;4.0
 ;TENESTEYTING MV.;20.1;19.7;18.3;18.2
 ;HUSHALD OG JORDBRUK;22.7;24.2;25.6;23.8
 ;Primærnæringer;1.9;1.9;2.0;1.9
 ;Hushald;16.5;17.5;18.3;16.9
 ;Hytter og fritidshus;4.3;4.7;5.3;5.0
Stjørdal;;;;;
 ;ALLE FORBRUKARGRUPPER;311.4;328.3;331.2;314.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;48.3;47.6;46.4;42.1
 ;TENESTEYTING MV.;120.7;128.1;127.7;121.8
 ;HUSHALD OG JORDBRUK;142.4;152.5;157.1;151.0
 ;Primærnæringer;17.6;18.7;17.7;17.0
 ;Hushald;123.3;132.3;137.5;132.1
 ;Hytter og fritidshus;1.5;1.5;1.9;1.9
Frosta;;;;;
 ;ALLE FORBRUKARGRUPPER;74.4;74.2;71.6;71.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;1.3;1.3;1.4
 ;TENESTEYTING MV.;10.5;10.6;10.7;9.9
 ;HUSHALD OG JORDBRUK;62.6;62.3;59.6;60.1
 ;Primærnæringer;45.7;44.4;40.9;42.1
 ;Hushald;14.5;15.2;15.9;15.1
 ;Hytter og fritidshus;2.4;2.7;2.8;2.9
Leksvik;;;;;
 ;ALLE FORBRUKARGRUPPER;48.1;50.1;51.0;48.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;12.4;12.6;12.8;11.2
 ;TENESTEYTING MV.;11.2;11.4;11.8;11.9
 ;HUSHALD OG JORDBRUK;24.5;26.1;26.5;25.5
 ;Primærnæringer;3.8;4.2;4.1;3.9
 ;Hushald;19.5;20.7;21.1;20.4
 ;Hytter og fritidshus;1.2;1.3;1.3;1.2
Levanger;;;;;
 ;ALLE FORBRUKARGRUPPER;1363.3;1552.4;1394.6;1372.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1126.7;1300.2;1139.6;1127.2
 ;TENESTEYTING MV.;95.4;102.1;101.5;97.6
 ;HUSHALD OG JORDBRUK;141.2;150.1;153.5;148.1
 ;Primærnæringer;29.5;31.0;30.8;29.7
 ;Hushald;106.5;113.5;116.6;112.5
 ;Hytter og fritidshus;5.2;5.6;6.1;5.9
Verdal;;;;;
 ;ALLE FORBRUKARGRUPPER;231.1;258.2;255.0;242.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;66.3;83.2;79.5;73.0
 ;TENESTEYTING MV.;67.4;70.2;69.7;67.0
 ;HUSHALD OG JORDBRUK;97.4;104.8;105.8;102.7
 ;Primærnæringer;16.6;17.5;16.6;16.2
 ;Hushald;78.2;84.3;86.0;83.3
 ;Hytter og fritidshus;2.6;2.9;3.2;3.3
Mosvik  (-2011);;;;;
 ;ALLE FORBRUKARGRUPPER;28.2;0.0;0.0;0.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;17.4;0.0;0.0;0.0
 ;TENESTEYTING MV.;4.0;0.0;0.0;0.0
 ;HUSHALD OG JORDBRUK;6.9;0.0;0.0;0.0
 ;Primærnæringer;1.9;0.0;0.0;0.0
 ;Hushald;3.9;0.0;0.0;0.0
 ;Hytter og fritidshus;1.1;0.0;0.0;0.0
Verran;;;;;
 ;ALLE FORBRUKARGRUPPER;135.1;114.3;109.0;208.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;102.7;78.9;72.1;173.2
 ;TENESTEYTING MV.;9.1;9.7;9.4;9.0
 ;HUSHALD OG JORDBRUK;23.4;25.8;27.6;26.5
 ;Primærnæringer;7.8;9.1;10.5;10.3
 ;Hushald;14.9;16.0;16.2;15.4
 ;Hytter og fritidshus;0.7;0.7;0.8;0.8
Namdalseid;;;;;
 ;ALLE FORBRUKARGRUPPER;26.3;28.2;26.2;25.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.1;2.2;2.6;2.4
 ;TENESTEYTING MV.;6.3;6.7;7.1;6.8
 ;HUSHALD OG JORDBRUK;18.0;19.3;16.5;16.0
 ;Primærnæringer;7.3;7.8;6.8;6.5
 ;Hushald;10.4;11.3;9.1;9.0
 ;Hytter og fritidshus;0.3;0.3;0.6;0.6
Inderøy (-2011);;;;;
 ;ALLE FORBRUKARGRUPPER;76.6;0.0;0.0;0.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.3;0.0;0.0;0.0
 ;TENESTEYTING MV.;21.6;0.0;0.0;0.0
 ;HUSHALD OG JORDBRUK;44.7;0.0;0.0;0.0
 ;Primærnæringer;11.7;0.0;0.0;0.0
 ;Hushald;31.9;0.0;0.0;0.0
 ;Hytter og fritidshus;1.1;0.0;0.0;0.0
Snåase Snåsa;;;;;
 ;ALLE FORBRUKARGRUPPER;28.5;30.4;30.4;28.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;1.1;1.2;1.3
 ;TENESTEYTING MV.;9.9;10.6;10.1;9.0
 ;HUSHALD OG JORDBRUK;17.6;18.6;19.1;18.1
 ;Primærnæringer;6.9;7.1;7.3;6.5
 ;Hushald;10.3;11.1;11.4;11.1
 ;Hytter og fritidshus;0.4;0.5;0.5;0.5
Lierne;;;;;
 ;ALLE FORBRUKARGRUPPER;21.9;23.2;24.1;23.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.3;3.4;3.2;2.7
 ;TENESTEYTING MV.;6.0;6.3;7.0;6.9
 ;HUSHALD OG JORDBRUK;12.7;13.5;14.0;13.7
 ;Primærnæringer;3.3;3.3;3.3;3.2
 ;Hushald;7.6;8.2;8.6;8.5
 ;Hytter og fritidshus;1.8;2.0;2.1;2.0
Raarvihke Røyrvik;;;;;
 ;ALLE FORBRUKARGRUPPER;9.6;10.0;10.3;9.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;0.9;0.4;0.5
 ;TENESTEYTING MV.;4.0;4.1;4.9;4.6
 ;HUSHALD OG JORDBRUK;4.8;5.0;5.0;4.9
 ;Primærnæringer;1.1;1.1;1.0;1.0
 ;Hushald;3.1;3.1;3.1;3.1
 ;Hytter og fritidshus;0.7;0.8;0.8;0.7
Namsskogan;;;;;
 ;ALLE FORBRUKARGRUPPER;16.2;17.0;17.4;17.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;1.0;1.0;0.8
 ;TENESTEYTING MV.;7.3;7.7;7.9;7.9
 ;HUSHALD OG JORDBRUK;7.8;8.3;8.6;8.3
 ;Primærnæringer;0.8;0.8;0.9;0.9
 ;Hushald;6.2;6.6;6.7;6.6
 ;Hytter og fritidshus;0.8;0.9;0.9;0.9
Grong;;;;;
 ;ALLE FORBRUKARGRUPPER;36.1;39.1;39.8;38.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;1.0;1.0;1.1
 ;TENESTEYTING MV.;15.4;16.8;17.3;16.3
 ;HUSHALD OG JORDBRUK;19.7;21.2;21.5;20.6
 ;Primærnæringer;4.3;4.6;4.7;4.3
 ;Hushald;13.8;15.0;15.2;14.6
 ;Hytter og fritidshus;1.5;1.7;1.7;1.7
Høylandet;;;;;
 ;ALLE FORBRUKARGRUPPER;19.9;21.2;21.6;20.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.3;3.7;3.6;3.4
 ;TENESTEYTING MV.;5.6;5.9;6.0;5.7
 ;HUSHALD OG JORDBRUK;11.0;11.6;12.0;11.4
 ;Primærnæringer;3.5;3.8;3.8;3.5
 ;Hushald;7.2;7.6;7.9;7.6
 ;Hytter og fritidshus;0.2;0.2;0.3;0.2
Overhalla;;;;;
 ;ALLE FORBRUKARGRUPPER;65.6;71.1;56.1;54.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.2;13.3;13.2;13.3
 ;TENESTEYTING MV.;15.5;16.3;11.1;10.9
 ;HUSHALD OG JORDBRUK;38.9;41.4;31.9;30.8
 ;Primærnæringer;11.9;12.4;8.6;8.3
 ;Hushald;25.4;27.2;23.1;22.3
 ;Hytter og fritidshus;1.6;1.8;0.2;0.2
Fosnes;;;;;
 ;ALLE FORBRUKARGRUPPER;6.5;6.5;10.1;10.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.1;0.1;0.4;0.5
 ;TENESTEYTING MV.;1.9;1.8;2.1;2.1
 ;HUSHALD OG JORDBRUK;4.5;4.6;7.5;7.4
 ;Primærnæringer;1.6;1.6;3.1;3.2
 ;Hushald;2.6;2.7;3.9;3.7
 ;Hytter og fritidshus;0.3;0.3;0.5;0.5
Flatanger;;;;;
 ;ALLE FORBRUKARGRUPPER;24.4;26.9;21.5;21.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.5;1.8;0.3;0.5
 ;TENESTEYTING MV.;5.3;5.9;5.1;4.8
 ;HUSHALD OG JORDBRUK;16.6;19.2;16.1;16.0
 ;Primærnæringer;6.1;7.8;7.3;7.4
 ;Hushald;8.5;9.0;6.8;6.5
 ;Hytter og fritidshus;2.1;2.4;2.0;2.1
Vikna;;;;;
 ;ALLE FORBRUKARGRUPPER;62.1;66.5;67.1;66.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.4;9.5;10.4;11.3
 ;TENESTEYTING MV.;19.4;21.8;21.3;20.6
 ;HUSHALD OG JORDBRUK;31.4;35.2;35.3;34.4
 ;Primærnæringer;4.3;6.2;6.0;5.5
 ;Hushald;26.0;27.6;28.0;27.4
 ;Hytter og fritidshus;1.1;1.4;1.3;1.4
Nærøy;;;;;
 ;ALLE FORBRUKARGRUPPER;68.6;73.0;74.9;70.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.7;8.9;9.4;9.0
 ;TENESTEYTING MV.;19.0;20.6;20.3;17.6
 ;HUSHALD OG JORDBRUK;40.9;43.5;45.1;44.1
 ;Primærnæringer;9.6;9.6;10.3;9.9
 ;Hushald;29.1;31.3;32.0;31.3
 ;Hytter og fritidshus;2.2;2.5;2.8;2.8
Leka;;;;;
 ;ALLE FORBRUKARGRUPPER;8.9;8.8;9.0;8.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.1;0.0;0.1;0.2
 ;TENESTEYTING MV.;2.6;2.9;2.9;2.5
 ;HUSHALD OG JORDBRUK;6.1;6.0;6.0;5.8
 ;Primærnæringer;1.8;1.6;1.6;1.5
 ;Hushald;3.9;3.9;3.9;3.7
 ;Hytter og fritidshus;0.4;0.5;0.5;0.5
Inderøy;;;;;
 ;ALLE FORBRUKARGRUPPER;0.0;111.4;113.7;112.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.0;29.8;31.1;31.6
 ;TENESTEYTING MV.;0.0;26.6;26.3;26.0
 ;HUSHALD OG JORDBRUK;0.0;55.0;56.4;54.7
 ;Primærnæringer;0.0;14.2;14.0;13.6
 ;Hushald;0.0;38.3;39.6;38.3
 ;Hytter og fritidshus;0.0;2.5;2.8;2.8
Bodø;;;;;
 ;ALLE FORBRUKARGRUPPER;781.6;841.9;820.0;799.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;41.5;60.8;46.1;46.5
 ;TENESTEYTING MV.;342.5;366.5;352.6;344.3
 ;HUSHALD OG JORDBRUK;397.5;414.6;421.2;408.3
 ;Primærnæringer;7.7;10.6;8.5;8.3
 ;Hushald;373.4;387.4;395.3;381.3
 ;Hytter og fritidshus;16.5;16.5;17.3;18.7
Narvik;;;;;
 ;ALLE FORBRUKARGRUPPER;373.7;403.8;373.8;379.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;34.8;23.5;19.0;19.3
 ;TENESTEYTING MV.;174.8;201.8;180.9;187.2
 ;HUSHALD OG JORDBRUK;164.2;178.5;173.8;173.5
 ;Primærnæringer;0.4;0.4;0.5;0.5
 ;Hushald;159.0;172.5;167.8;167.2
 ;Hytter og fritidshus;4.8;5.6;5.5;5.8
Bindal;;;;;
 ;ALLE FORBRUKARGRUPPER;23.0;23.5;22.5;21.6
