Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;Primærnæringer;7.8;9.4;8.2;7.8
 ;Hushald;47.7;51.5;51.9;49.2
 ;Hytter og fritidshus;4.4;4.8;5.3;5.2
Stange;;;;;
 ;ALLE FORBRUKARGRUPPER;266.0;269.8;290.9;273.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;47.1;48.0;64.4;59.0
 ;TENESTEYTING MV.;65.0;63.6;64.0;60.7
 ;HUSHALD OG JORDBRUK;153.9;158.2;162.4;153.5
 ;Primærnæringer;24.3;21.3;20.5;18.5
 ;Hushald;127.0;134.2;139.1;132.3
 ;Hytter og fritidshus;2.6;2.7;2.8;2.7
Nord-Odal;;;;;
 ;ALLE FORBRUKARGRUPPER;59.2;62.6;62.9;60.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.1;7.5;7.7;7.1
 ;TENESTEYTING MV.;13.1;14.3;13.6;13.0
 ;HUSHALD OG JORDBRUK;39.0;40.8;41.6;40.2
 ;Primærnæringer;1.0;1.2;1.1;1.1
 ;Hushald;35.5;37.2;38.1;36.7
 ;Hytter og fritidshus;2.4;2.4;2.5;2.4
Sør-Odal;;;;;
 ;ALLE FORBRUKARGRUPPER;106.6;111.5;114.5;104.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.7;21.2;22.0;17.7
 ;TENESTEYTING MV.;25.9;26.5;27.0;25.8
 ;HUSHALD OG JORDBRUK;60.9;63.8;65.5;61.4
 ;Primærnæringer;2.4;2.8;2.7;2.6
 ;Hushald;56.3;58.6;60.3;56.5
 ;Hytter og fritidshus;2.3;2.4;2.5;2.3
Eidskog;;;;;
 ;ALLE FORBRUKARGRUPPER;82.0;84.9;86.3;82.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;18.5;17.8;17.8;18.5
 ;TENESTEYTING MV.;15.5;16.2;15.9;14.4
 ;HUSHALD OG JORDBRUK;48.0;50.9;52.6;49.8
 ;Primærnæringer;1.6;2.1;2.0;1.7
 ;Hushald;44.2;46.5;48.2;45.8
 ;Hytter og fritidshus;2.2;2.3;2.4;2.4
Grue;;;;;
 ;ALLE FORBRUKARGRUPPER;77.1;80.4;80.2;76.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.1;21.6;20.9;18.6
 ;TENESTEYTING MV.;15.9;15.5;14.4;16.3
 ;HUSHALD OG JORDBRUK;41.2;43.3;44.9;41.7
 ;Primærnæringer;3.8;4.4;4.4;4.2
 ;Hushald;34.8;36.4;37.9;35.3
 ;Hytter og fritidshus;2.6;2.5;2.6;2.2
Åsnes;;;;;
 ;ALLE FORBRUKARGRUPPER;98.1;98.9;98.9;92.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.3;9.0;8.1;7.0
 ;TENESTEYTING MV.;27.5;28.3;27.1;26.2
 ;HUSHALD OG JORDBRUK;59.3;61.5;63.7;59.2
 ;Primærnæringer;4.0;4.5;4.4;4.0
 ;Hushald;53.6;55.4;57.6;53.7
 ;Hytter og fritidshus;1.6;1.7;1.7;1.5
Våler (Hedm.);;;;;
 ;ALLE FORBRUKARGRUPPER;100.6;98.7;98.4;98.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;55.8;52.3;51.2;54.1
 ;TENESTEYTING MV.;14.3;15.0;14.9;14.2
 ;HUSHALD OG JORDBRUK;30.5;31.4;32.3;30.7
 ;Primærnæringer;2.5;3.1;3.1;2.9
 ;Hushald;26.7;27.3;28.1;26.7
 ;Hytter og fritidshus;1.3;1.1;1.1;1.0
Elverum;;;;;
 ;ALLE FORBRUKARGRUPPER;286.0;288.6;290.1;268.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;45.1;39.8;38.4;30.1
 ;TENESTEYTING MV.;92.4;94.2;94.3;91.7
 ;HUSHALD OG JORDBRUK;148.4;154.6;157.4;146.9
 ;Primærnæringer;4.8;5.0;5.2;5.2
 ;Hushald;142.7;148.7;151.2;140.9
 ;Hytter og fritidshus;0.9;0.9;1.0;0.8
Trysil;;;;;
 ;ALLE FORBRUKARGRUPPER;167.5;171.6;171.7;169.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;12.4;12.8;12.8;12.8
 ;TENESTEYTING MV.;51.2;55.4;52.2;51.0
 ;HUSHALD OG JORDBRUK;103.9;103.5;106.6;105.8
 ;Primærnæringer;2.2;2.5;2.3;2.0
 ;Hushald;53.3;55.0;56.5;56.5
 ;Hytter og fritidshus;48.4;46.0;47.9;47.3
Åmot;;;;;
 ;ALLE FORBRUKARGRUPPER;86.0;88.8;88.6;82.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.7;2.9;1.9;1.8
 ;TENESTEYTING MV.;40.8;39.9;38.9;35.9
 ;HUSHALD OG JORDBRUK;43.5;46.1;47.8;44.7
 ;Primærnæringer;1.7;2.1;2.0;1.8
 ;Hushald;33.8;35.1;36.6;34.1
 ;Hytter og fritidshus;8.0;8.8;9.3;8.7
Stor-Elvdal;;;;;
 ;ALLE FORBRUKARGRUPPER;47.4;48.0;49.1;48.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.1;7.9;8.0;8.0
 ;TENESTEYTING MV.;14.9;14.5;14.3;14.3
 ;HUSHALD OG JORDBRUK;24.4;25.6;26.8;25.8
