"Omsetning per innbygger i detaljhandel (kr), etter region, tid  og "
" statistikkvariabel"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" ";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning"
"Haram";37526;39414;39708;39981;40703;41632;44703
"Vestnes";51758;53491;55224;57185;59539;58971;61490
"Rauma";58277;59297;58594;58859;59937;61817;64304
"Nesset";37143;39745;40120;39382;47648;45170;48423
"Midsund";33888;37292;39199;36956;38597;43486;42753
"Sandøy";37678;40949;32014;26086;35866;36995;38645
"Aukra";29987;28926;28210;28650;31152;28433;30667
"Fræna";47149;47392;47199;48908;49365;49768;52598
"Eide";42711;40298;41399;42168;40341;39575;37789
"Averøy";46927;46706;45663;46830;49031;49550;49461
"Gjemnes";26798;27186;29164;31570;32050;32127;31357
"Tingvoll";47225;47213;46174;48076;50402;48155;54334
"Sunndal";70436;69733;72176;75020;76923;76935;80733
"Surnadal";72121;73806;75050;77381;78957;80896;85025
"Rindal";31769;33417;34691;36797;47177;48953;52146
"Halsa";37865;41765;41326;41982;40118;41872;45060
"Smøla";54375;59234;58981;57365;63576;65623;61092
"Aure";45576;49036;48784;51588;53462;53828;54366
"Trondheim";87827;89346;90430;90802;92364;91892;94328
"Hemne";58426;60142;66003;68599;70687;71328;72784
"Snillfjord";13463;14025;12361;9908;7291;7598;8027
"Hitra";74503;80113;81583;81760;86142;86266;88625
"Frøya";57427;55994;54156;60442;63074;64206;67246
"Ørland";83474;90176;85190;85237;88635;87471;97749
"Agdenes";31755;33868;34449;34276;38523;39643;40929
"Rissa";49604;51115;53351;55496;58750;58140;59962
"Bjugn";42653;47136;50806;52742;53417;55367;59116
"Åfjord";67224;66594;69066;70316;71586;82761;88735
"Roan";27485;28679;30096;30589;31742;32653;35732
"Osen";27717;28623;27982;27589;27186;27903;29266
"Oppdal";94448;95567;97232;98302;101200;104322;105769
"Rennebu";31140;31269;30966;32946;36470;38000;39456
"Meldal";38250;36801;38943;40894;39506;41245;41535
"Orkdal";96259;93986;95032;97402;100933;98382;99618
"Røros";81771;86752;90004;93252;100743;106269;119382
"Holtålen";31473;32803;32582;32703;34000;33740;35564
"Midtre Gauldal";45900;46921;50761;52576;52744;52766;54049
"Melhus";38431;42661;43582;46418;44863;47037;48455
"Skaun";20954;22200;23313;25099;25713;26780;28487
"Klæbu";25816;20331;18273;18244;17946;18377;19217
"Malvik";27591;27896;32000;37470;38027;37493;37499
"Selbu";41168;42458;41654;42467;43844;46676;48156
"Tydal";30467;31356;31583;31938;32840;36148;38067
"Steinkjer";76408;83438;88054;89683;93656;98483;102554
"Namsos";98617;100648;101442;107712;106152;105653;108518
"Meråker";32084;34024;33140;31364;31350;31531;30723
"Stjørdal";78280;80713;81704;83450;85795;86999;89382
"Frosta";49918;50603;47303;47583;47508;49506;51461
